Ticker,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Market Cap (intraday),PEG Ratio (5 yr expected),Price/Book (mrq),Price/Sales (ttm),Trailing P/E,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield %,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change %,Avg Vol (10 day),Avg Vol (3 month),Beta (5Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),EBITDA,Ex-Dividend Date,Fiscal Year Ends,Float 8,Forward Annual Dividend Rate,Forward Annual Dividend Yield %,Gross Profit (ttm),Implied Shares Outstanding 6,Last Split Date,Last Split Factor,Levered Free Cash Flow (ttm),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm) %,Payout Ratio %,Profit Margin %,Quarterly Earnings Growth (yoy) %,Quarterly Revenue Growth (yoy) %,Return on Assets (ttm) %,Return on Equity (ttm) %,Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change %,Shares Outstanding,Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield %
LIN.DE,152.08B,15.68,5.11,26.53,141.44B,2.15,3.6,5.49,45.85,0.002,0.7959999999999999,266.9,,290.8,309.35,201.8,21.89%,897.84k,723.7k,0.86,86.47,0.81,5.94,9.9B,"Dec 02, 2021","Dec 31, 2020",511.78M,3.74,0.013600000000000001,11.86B,,,,5.05B,"Sep 30, 2021",3.57B,8.93B,0.175,0.6102000000000001,0.1199,39.90%,11.9,0.038,0.0786,29.77B,57.22,14.94%,512.56M,4.7B,9.17,16.73B,36.57,4.14,1.58
MC.PA,387.95B,19.34,7.06,27.32,358.12B,1.17,8.7,6.53,37.92,0.47479999999999994,0.21280000000000002,672.65,0.0147,707.7,758.5,518.7,33.76%,508.74k,409.77k,0.94,93.58,1.23,23.89,19.19B,"Nov 30, 2021","Dec 31, 2021",272.26M,7.0,0.009899999999999999,43.86B,,"Jul 03, 2000",5:1,13.09B,"Dec 31, 2021",12.04B,18.65B,0.2669,0.3197,0.18739999999999998,61.40%,35.4,0.0916,0.2894,64.21B,127.5,14.94%,503.19M,10.6B,21.04,34.54B,70.63,10.0,1.42
MUV2.DE,37.41B,,0.55,12.08,38.38B,0.52,1.28,0.57,16.9,0.0003,0.4404,246.51,0.0434,262.03,282.25,215.25,15.04%,375.25k,324.74k,1.04,214.26,0.43,16.21,3.46B,"Apr 29, 2021","Dec 31, 2020",139.79M,9.8,0.036699999999999997,15.88B,,,,,"Sep 30, 2021",2.27B,,0.050300000000000004,0.6046,0.0361,80.70%,9.9,0.006500000000000001,0.0761,62.96B,449.53,14.94%,140.1M,7.21B,51.58,5.29B,17.6,9.8,3.67
OR.PA,197.07B,,6.54,40.32,199.44B,4.08,6.73,6.95,51.03,0.5418,0.1485,387.53,,400.98,433.65,302.2,19.32%,493.71k,375.93k,0.57,53.13,1.22,7.3,7.13B,"Apr 27, 2021","Dec 31, 2020",254.18M,4.0,0.0109,20.46B,557.67M,"May 19, 2017",2:1,3.79B,"Jun 30, 2021",4.1B,7.33B,0.1935,0.5478999999999999,0.1363,29.60%,16.2,0.08109999999999999,0.14029999999999998,30.11B,53.81,14.94%,535.41M,4.82B,8.65,2.45B,8.27,4.0,1.09
PHIA.AS,29.77B,14.74,1.74,17.06,25.10B,3.13,1.74,1.53,43.04,0.0009,0.5446,38.28,,30.83,50.98,27.72,-38.18%,3.9M,4.05M,0.83,16.59,1.39,3.65,1.82B,"May 12, 2022","Dec 31, 2021",868.94M,0.85,0.029500000000000002,7.17B,,"Jun 30, 2020",50:49,1.24B,"Dec 31, 2021",608M,5.03B,0.0322,1.2687,0.1935,-74.00%,-17.6,0.0118,0.0464,17.16B,18.97,14.94%,870.18M,2.3B,2.65,6.98B,48.22,0.85,2.94
PRX.AS,219.41B,10.62,36.52,12.92,221.89B,,4.59,21.27,6.3,0.5763,0.15130000000000002,76.12,,72.43,110.0,65.71,-29.78%,2.25M,2.21M,0.35,34.64,3.12,11.0,-954M,"Oct 28, 2021","Mar 31, 2021",144.04M,0.14,0.002,1.66B,3.14B,,,1.98B,"Sep 30, 2021",20.32B,-213M,-0.18510000000000001,0.0101,3.383,427.10%,41.0,-0.012,0.44409999999999994,6.01B,3.76,14.94%,2.01B,13.68B,8.67,10.81B,19.78,0.16,0.23
RI.PA,57.36B,21.79,6.5,26.53,49.84B,2.24,3.36,5.69,38.48,0.24559999999999998,0.5025999999999999,191.91,0.0168,204.01,217.2,156.1,17.40%,424.74k,365.72k,0.51,56.83,2.45,4.99,2.59B,"Nov 22, 2021","Jun 30, 2021",202.67M,3.12,0.016399999999999998,5.29B,,"Jan 15, 2008",2:1,1.21B,"Jun 30, 2021",1.3B,2B,0.2727,0.7996,0.1479,,29.1,0.0472,0.09,8.82B,33.83,14.94%,259.6M,2.08B,7.96,9.59B,63.65,3.12,1.64
SAF.PA,48.65B,13.44,3.36,28.9,45.85B,0.89,3.52,3.27,34.32,0.1845,0.3856,112.83,,106.68,127.74,96.17,-5.43%,947.16k,900.56k,1.53,30.59,1.06,3.05,2.19B,"May 31, 2021","Dec 31, 2020",346.91M,0.43,0.0040999999999999995,7.87B,,"Dec 22, 2004",5:1,-348M,"Jun 30, 2021",1.37B,1.57B,0.061200000000000004,0.1374,0.0932,,-23.7,0.013500000000000002,0.1076,14.65B,34.34,14.94%,426.79M,4.06B,9.52,6.88B,51.15,0.43,0.41
SAN.MC,,,,6.32,56.29B,,0.65,1.27,7.57,0.0073,0.309,3.1518,,2.9608,3.509,2.653,14.38%,62.68M,53.51M,1.7,5.09,,0.436,,"Oct 29, 2021","Dec 31, 2021",16.9B,0.08,0.023399999999999997,39.01B,17.31B,"Nov 16, 2020",24:23,,"Dec 31, 2021",8.12B,,0.3786,0.1743,0.20829999999999999,721.30%,28.6,0.0062,0.1025,39.01B,2.1,14.94%,17.06B,380.05B,22.27,305.44B,,0.0,0.0
SAN.PA,126.27B,11.34,3.36,12.55,114.34B,3.5,1.81,3.06,19.84,0.1115,0.5433,87.1,0.0383,88.64,95.16,74.92,11.79%,2.69M,2.01M,0.45,50.49,,4.97,12.03B,"May 05, 2021","Dec 31, 2021",1.11B,3.2,0.0354,26.92B,,,,,"Dec 31, 2021",6.22B,,0.2334,0.6953,0.1588,4.60%,7.0,,,39.18B,31.28,14.94%,1.25B,,,,,3.33,3.69
